0


 PARE 160 130 200 184
4 PARE 159 134 200 186
5 Oneway-exit 159 136 200 188
6 Oneway-exit 158 136 200 188
7 Oneway-exit 158 136 200 188
8 Oneway-exit 160 136 200 188
9 Oneway-exit 160 136 200 188
10 Oneway-exit 158 138 200 190
11 Oneway-exit 158 140 200 192
12 Oneway-exit 158 142 200 194
13 Oneway-exit 158 142 200 194
14 Oneway-exit 158 142 200 194
15 PARE 160 142 200 194
16 PARE 158 142 200 194
17 Oneway-exit 158 144 200 196
18 PARE 158 144 198 196
19 Oneway-exit 156 146 198 198
20 Oneway-exit 156 148 196 200
21 Oneway-exit 156 150 196 202
22 Oneway-exit 154 150 196 202
23 PARE 155 150 196 204
24 PARE 154 152 194 206
27 PARE 152 158 192 210
29 Oneway-exit 150 160 192 212
30 Oneway-exit 150 160 190 212
31 Oneway-exit 150 160 190 212
32 Oneway-exit 150 162 190 214
33 PARE 150 162 190 214
36 Oneway-exit 150 164 190 214
37 Oneway-exit 150 162 190 214
38 Oneway-exit 150 162 190 214
39 Oneway-exit 150 162 190 214
40 Oneway-exit 150 162 190 214
41 Oneway-exit 150 162 190 214
42 PARE 150 162 192 214
43 Oneway-exit 150 162 192 214
44 Oneway-exit 150 162 192 214
45 PARE 152 161 192 212
46 PARE 152 160 192 212
47 Oneway-exit 152 160 192 212
48 Oneway-exit 152 160 192 212
49 Oneway-exit 152 160 192 212
50 PARE 152 160 194 210
51 PARE 152 158 194 210
52 PARE 152 158 194 210
53 Oneway-exit 152 158 194 210
54 PARE 152 157 194 208
55 PARE 152 156 194 208
56 PARE 152 156 194 208
57 Oneway-exit 152 156 194 208
58 PARE 152 156 194 206
59 PARE 152 154 194 206
60 Oneway-exit 152 154 194 206
61 PARE 152 152 194 204
62 PARE 152 152 194 204
63 PARE 152 152 194 204
64 PARE 152 152 194 202
65 PARE 152 150 194 202
66 PARE 152 150 194 200
67 PARE 152 150 194 200
68 PARE 152 148 194 200
69 PARE 152 148 194 200
70 Oneway-exit 152 148 193 198
71 Oneway-exit 152 148 194 198
72 PARE 152 146 194 198
73 PARE 154 146 194 198
74 Oneway-exit 154 146 194 198
75 Oneway-exit 154 146 194 198
76 PARE 154 146 194 196
77 PARE 154 146 194 196
79 PARE 154 144 194 196
80 PARE 154 144 194 196
81 PARE 154 144 194 196
82 PARE 154 144 194 196
83 Oneway-exit 154 144 194 196
84 Oneway-exit 154 144 194 196
85 Oneway-exit 154 144 194 196
86 Oneway-exit 154 144 194 196
87 Oneway-exit 154 142 194 196
88 Oneway-exit 154 142 194 196
89 Oneway-exit 154 142 194 194
90 Oneway-exit 154 142 194 194
91 Oneway-exit 154 140 194 194
92 Oneway-exit 154 140 194 194
93 Oneway-exit 154 140 194 192
94 Oneway-exit 154 138 196 192
95 Oneway-exit 154 138 196 190
96 Oneway-exit 154 138 196 190
97 Oneway-exit 154 136 196 190
98 Oneway-exit 154 136 196 188
99 Oneway-exit 154 136 196 188
100 Oneway-exit 155 134 196 188
101 Oneway-exit 154 134 196 186
103 Oneway-exit 154 132 196 186
105 Oneway-exit 156 130 198 184
106 Oneway-exit 156 130 198 184
107 Oneway-exit 156 128 198 182
108 Oneway-exit 156 128 198 182
109 Oneway-exit 156 126 198 180
110 Oneway-exit 156 126 198 180
111 Oneway-exit 156 126 198 180
112 Oneway-exit 156 124 198 178
113 Oneway-exit 156 122 198 178
114 Oneway-exit 156 122 198 176
115 Oneway-exit 156 120 198 176
116 Oneway-exit 156 120 198 176
117 Oneway-exit 155 120 198 176
118 PARE 155 118 198 174
119 Oneway-exit 155 118 198 174
120 Oneway-exit 156 116 198 172
121 Oneway-exit 156 116 198 172
123 Oneway-exit 154 114 198 170
124 Oneway-exit 154 114 198 172
125 Oneway-exit 152 114 196 172
126 Oneway-exit 152 114 196 172
127 Oneway-exit 152 114 196 172
128 Oneway-exit 152 114 196 172
129 Oneway-exit 150 114 194 172
130 Oneway-exit 150 114 194 174
131 Oneway-exit 148 116 194 174
132 PARE 148 116 194 174
133 PARE 148 116 194 174
134 Oneway-exit 148 116 194 174
135 Oneway-exit 148 116 194 176
136 Oneway-exit 146 118 192 176
137 Oneway-exit 146 118 192 176
138 Oneway-exit 146 118 192 176
139 Oneway-exit 144 118 190 178
140 Oneway-exit 144 118 190 176
141 Oneway-exit 144 118 190 176
142 Oneway-exit 142 118 190 178
143 Oneway-exit 142 118 188 178
145 Oneway-exit 140 120 188 178
146 Oneway-exit 140 118 188 178
147 Oneway-exit 140 118 186 180
148 Oneway-exit 140 120 186 182
149 Oneway-exit 138 122 186 184
150 Oneway-exit 137 124 184 186
151 Oneway-exit 136 124 184 188
152 Oneway-exit 137 124 186 188
153 PARE 138 124 186 186
154 PARE 137 124 186 188
155 Oneway-exit 136 126 184 188
156 Oneway-exit 135 128 184 190
157 Oneway-exit 134 128 183 192
158 Oneway-exit 134 130 184 192
159 Oneway-exit 134 130 184 192
162 Oneway-exit 132 132 182 196
164 PARE 132 132 182 196
169 Oneway-exit 130 132 182 198
170 Oneway-exit 130 132 182 198
171 Oneway-exit 129 132 182 200
172 Oneway-exit 128 132 180 200
173 Oneway-exit 127 134 180 202
174 Oneway-exit 126 136 178 204
176 Oneway-exit 124 138 178 208
177 Oneway-exit 123 138 176 208
178 Oneway-exit 122 138 176 208
179 Oneway-exit 122 138 176 208
180 Oneway-exit 120 138 176 210
181 Oneway-exit 118 140 174 212
182 Oneway-exit 118 141 174 212
183 Oneway-exit 116 140 172 212
184 Oneway-exit 116 138 172 212
185 Oneway-exit 115 138 172 212
186 Oneway-exit 114 138 170 212
187 Oneway-exit 112 140 170 214
188 Oneway-exit 110 140 168 214
190 Oneway-exit 108 138 166 214
192 Oneway-exit 106 138 164 216
194 Oneway-exit 102 140 162 218
195 Oneway-exit 100 140 161 218
196 Oneway-exit 99 140 160 218
206 Oneway-exit 79 144 146 228
207 Oneway-exit 76 146 144 230
209 Oneway-exit 72 148 140 234
